"Data Source: SteamPowered.com","Monthly Gain / Loss","Monthly Gain / Loss %","Average Monthly Players","Max Daily Players"
"Last 30 Days",313512,0.26,119919055,11991906
"February 20, 2022",-1441107,-1.19,119605543,11960554
"January 30, 2022",-709240,-0.58,121046650,12104665
"December 30, 2021",-894330,-0.73,121755890,12175589
"November 30 2021",3063204,2.56,122650220,12265022
"October 30, 2021",6020972,5.3,119587016,11958702
"September 30, 2021",-1334502,-1.16,113566044,11356604
"August 30, 2021",-1164975,-1,114900546,11490055
"July 30, 2021",405374,0.35,116065521,11606552
"June 30, 2021",-1941999,-1.65,115660147,11566015
"May 30, 2021",8051999,7.35,117602146,11760215
"April 30, 2021",8217646,8.11,109550147,10955015
"March 30, 2021",1111093,1.11,101332501,10133250
"February 20, 2021",2766803,2.84,100221408,10022141
"January 30, 2021",3757086,4.01,97454605,9745461
"December 30, 2020",1837207,2,93697519,9369752
"November 30, 2020",918250,1.01,91860312,9186031
"October 30, 2020",3506014,4.01,90942062,9094206
"September 30, 2020",7597288,9.52,87436048,8743605
"August 30, 2020",-5086680,-5.99,79838760,7983876
"July 30, 2020",-2617060,-2.99,84925440,8492544
"June 30, 2020",-6547500,-6.96,87542500,8754250
"May 30, 2020",90000,0.1,94090000,9409000
"May 30, 2020",3750000,4.16,94000000,9400000
"April 30, 2020",4512500,5.26,90250000,9025000
"March 30, 2020",7680275,9.84,85737500,8573750
"February 20, 2020",7016757,9.88,78057225,7805723
"January 30, 2020",15250535,27.34,71040468,7104047
"December 30, 2019",8368490,17.65,55789933,5578993
"November 30, 2019",47421443,0,47421443,4742144
